ResponseID,ResponseSet,Name,ExternalDataReference,Country,Status,StartDate,EndDate,Finished,Eff,Consent,Instruct1,ArticleIns,ArtInstruc,Neutral,HighEff,LowEff,ReadTime_1,ReadTime_2,ReadTime_3,ReadTime_4,MCIntro,Scary,Disgusting,Severe,Threaten,Effective,GWInstruct,GW01Trend,GW02HumDri,GW03Smoke,GW05Percen,GW06Solar,GW07Little,GW08Direct,GW09Threat,IntentionI,In01Bulbs,In02Winter,In03Summer,In04Washin,In05Dryer,In06Recycl,In07Paper,In08Water,In09Bags,In10Drive,In11Vote,In12Write,MoralIntro,M01Suffer,M02Rights,M03Proud,M04Guilty,M05Virtuou,M06Negativ,M07Positiv,M08Punish,M09Reward,M10Wrong,M11Right,PolicyIntr,Policies_Plastic,Policies_Reuse,Policies_Cup,Policies_Commute,Policies_Hybrid,Policies_MPG,Policies_Carpool,Disposable,Reusable,Drinks,Commuter,Hybrid,MPG,Carpool,DemoInstru,Gender,age,LibCon,Suspicion,Purpose,Thoughts,BebriefInt,Debriefing,GW06Solar_r,GW07Little_r,negEmoAvg,beliefAvg,intentionAvg,moralAvg,policyCount,filter_$,MatchSequence,ZintentionAvg,ZmoralAvg
R_afts35zfE4h2FI9,Live,Anonymous,,United States,0,6/16/15 10:03,6/16/15 10:19,1,0.5,4,1,1,1,1,1,,0,0,244.564,0,1,6,7,7,6,6,1,7,5,4,2,3,1,4,7,1,1,7,7,6,1,1,1,1,4,1,4,1,1,7,4,7,7,7,7,7,7,7,7,7,1,2,1,1,2,1,2,1,,10,5,,5,,2,1,2,34,7,1,It is about my views on global warming., ,1,1,5,7,6.5,5.125,2.916666667,6.727272727,4,1,0,-1.425135144,1.6380226
R_cAb0m9nifPU15CR,Live,Anonymous,,United States,0,6/16/15 10:31,6/16/15 10:39,1,0.5,4,1,1,1,1,1,,0,0,62.312,0,1,7,7,6,5,7,1,7,7,7,6,1,1,7,7,1,7,7,6,7,1,7,3,6,7,1,7,1,1,7,7,7,7,4,1,4,4,7,6,6,1,1,1,1,2,1,1,2,1,1,1,,10,10,,1,1,36,3,1,I think the purpose of this study is to try and influence people to be more green.,No additional comments.,1,1,7,7,6.25,6.875,5,5.454545455,5,1,0,0.269670591,0.666163157
R_4VMDk3799YKUsLz,Live,Anonymous,,United States,0,6/22/15 9:08,6/22/15 9:17,1,-0.5,4,1,1,1,1,,1,0,0,93.526,0,1,6,5,5,2,2,1,6,6,6,5,2,1,6,6,1,7,3,7,7,7,7,4,7,5,4,4,1,1,4,2,6,7,1,5,2,2,7,2,7,1,2,1,1,2,1,2,1,,2,1,,5,,4,1,2,47,4,1,I think that opinions on global warming are being solicited and that you want to know how adaptable people want to be in trying to combat the problem of global warming.,No,1,1,6,7,4.5,6,5.25,4.090909091,4,1,0,0.473047279,-0.375114818
R_0Unp4VS1hLFhUPP,Live,Anonymous,,United States,0,6/16/15 10:09,6/16/15 10:18,1,-0.5,4,1,1,1,1,,1,0,0,92.06,0,1,1,2,2,1,1,1,2,2,1,2,6,6,2,2,1,2,1,5,6,6,5,3,5,6,1,2,1,1,1,1,1,2,1,1,1,1,4,1,1,1,2,2,2,2,2,2,2,,,,,,,,1,1,70,7,1,If people believe global warming is real.,No,1,1,2,2,1.5,1.875,3.583333333,1.363636364,0,1,0,-0.882797309,-2.457670767
R_9KpFYELmGBsrGER,Live,Anonymous,,United States,0,6/16/15 9:56,6/16/15 10:22,1,-0.5,4,1,1,1,1,,1,0,0,122.306,0,1,7,7,6,6,3,1,6,4,6,6,4,4,5,6,1,4,7,7,7,3,3,5,3,6,3,3,1,1,6,4,5,6,5,5,5,5,6,5,5,1,1,1,1,2,1,2,1,1,5,1,,10,,8,1,2,47,4,1,what people think about global warming and how serious they will take doing something about it,no,1,1,4,4,6.5,5.125,4.333333333,5.181818182,5,1,0,-0.272667245,0.457907562
R_1RgKcoDfbugqmCp,Live,Anonymous,,United States,0,6/22/15 9:30,6/22/15 9:35,1,0.5,4,1,1,1,1,1,,0,0,51.802,0,1,7,7,7,7,7,1,7,7,5,6,4,1,4,7,1,7,7,7,7,7,7,7,7,7,6,7,5,1,7,4,7,7,4,4,4,6,7,4,7,1,1,1,1,2,1,1,1,5,10,10,,10,10,2,1,2,30,4,1,Impact of global warming,No,1,1,4,7,7,5.875,6.75,5.545454545,6,1,0,1.693307408,0.735581689
R_elJY17mlipvFQ45,Live,Anonymous,,United States,0,6/16/15 9:51,6/16/15 9:59,1,-0.5,4,1,1,1,1,,1,0,0,70.67,0,1,6,6,5,5,5,1,5,3,5,3,6,5,5,3,1,7,1,6,6,1,7,5,7,6,5,4,2,1,4,4,5,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,,1,,,10,,,1,2,62,7,1,"\The purpose is to collect beliefs about global warming causes""", effects," and if individuals can make a difference.\""	No""",2,3,5.5,3.625,4.75,1.909090909,2,1,0,0.066293902,-2.041159577,
R_9QTOB5p3aLJ7vSd,Live,Anonymous,,United States,0,6/16/15 9:54,6/16/15 10:03,1,0.5,4,1,1,1,1,1,,25.995,25.995,85.693,1,1,4,4,1,1,1,1,5,3,3,3,4,5,4,3,1,7,1,1,7,2,7,1,7,5,5,4,1,1,4,4,2,5,2,1,2,3,5,5,5,1,2,1,1,2,1,2,1,,1,1,,5,,8,1,1,33,5,1,My best guess is to find out which demographics are sold on climate change and which ones are not.,none,1,1,4,3,2.5,3.5,4,3.454545455,4,1,0,-0.543836162,-0.861044539
R_5awnls75JRtuhkV,Live,Anonymous,,United States,0,6/16/15 10:42,6/16/15 11:04,1,-0.5,4,1,1,1,1,,1,0,0,94.906,0,1,7,5,7,7,5,1,5,7,5,4,7,6,6,7,1,7,5,5,7,5,7,7,6,6,7,7,5,1,6,7,7,7,6,6,7,6,6,6,6,1,1,1,1,1,1,1,1,5,10,3,5,10,3,3,1,1,39,4,1,This survey is to get people's prospective on recycling.,I think this is a great way to collect data regarding this matter and I really hope it will make a difference.,1,1,1,2,6.5,4.625,6.166666667,6.363636364,7,1,0,1.218761802,1.360348473
R_1QZTASygH6pITGt,Live,Anonymous,,United States,0,6/16/15 10:16,6/16/15 10:31,1,-0.5,4,1,1,1,1,,1,0,0,91.21,0,1,7,4,6,6,6,1,5,7,6,4,3,2,6,5,1,5,4,7,4,3,7,5,6,5,5,6,2,1,4,5,6,7,3,5,4,5,5,6,6,1,2,1,1,2,1,2,1,,2,3,,5,,8,1,2,49,2,1,"\I think that the study was intended to see whether reading a dissuading article (in which the author says that individual efforts don't help reduce the carbon emmissions"""," so why bother)--whether that would impact one's attitudes about doing those small personal contributions. /  / \""	\""I think I may have messed up a section of the test.  After reading the article--which was definitely negative about individuals being able to have an impact in reducing carbon emissions--I answered the next set of questions about what I PERSONALLY believed about climate change.  I hope that I did not misread the directions--in case you were asking about the opinion expressed in the article! /  / Also""", since I know that climate change is such a contentious issue,5,6,5.75,5.5,4.916666667,5.090909091,4,1,0,0.201878361,0.38848903,
R_8jglAyD75zD796B,Live,Anonymous,,United States,0,6/16/15 9:50,6/16/15 10:08,1,0.5,4,1,1,1,1,1,,9.163,19.002,297.344,3,1,5,5,5,5,4,1,5,5,5,6,4,3,5,5,1,6,5,5,6,2,7,5,6,6,3,5,2,1,5,4,4,5,3,4,2,3,5,4,2,1,1,1,1,2,1,1,1,1,1,1,,10,9,8,1,2,36,2,1,To get the opinions of how I think about global warming.,No,1,1,4,5,5,5,4.833333333,3.727272727,6,1,0,0.134086132,-0.652788944
R_6Gvn7Rp7kO22Iuh,Live,Anonymous,,United States,0,6/22/15 9:44,6/22/15 10:00,1,-0.5,4,1,1,1,1,,1,58.669,70.657,82.936,6,1,2,2,3,2,1,1,6,2,2,1,6,7,2,4,1,6,6,7,7,4,7,1,4,1,6,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,1,2,49,4,1,"\To determine if a person's global warming beliefs affects his moral code. What these questions did not consider is a person's economic situation. I believe global warming has more to do with solar activity than anything else. I do not consider recycling or decreasing consumption to be morally right. However""", I recycle, repurpose," and reduce consumption because it is economically correct. The only people who are adversely affected by the continuing increases in \\""global warming\""\"" taxes and fees are the poor""",2,1,2.25,2.5,4.25,1.545454545,0,1,0,-0.340459474,-2.318833704
R_5hHlO3I7aoC2qvr,Live,Anonymous,,United States,0,6/22/15 9:02,6/22/15 9:20,1,0.5,4,1,1,1,1,1,,0,0,77.347,0,1,5,7,6,6,6,1,7,7,5,3,2,2,5,7,1,7,4,7,7,3,6,7,7,7,3,6,5,1,7,6,7,7,1,7,5,7,6,1,7,1,2,1,1,2,1,1,1,,1,2,,5,1,8,1,2,31,2,1,See what people would do as their part of protecting the environment. /,No,1,1,6,6,6,5.75,5.75,5.545454545,5,1,0,0.879800655,0.735581689
R_8lf712zAHoQqDTT,Live,Anonymous,,United States,0,6/22/15 9:22,6/22/15 9:34,1,-0.5,4,1,1,1,1,,1,0,0,116.091,0,1,7,7,7,7,4,1,7,7,7,7,2,1,7,7,1,7,7,7,7,7,7,7,7,7,7,7,2,1,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,2,1,1,2,10,1,8,1,1,63,3,1,To see if the pessimistic article that we read would affect our answers to questions that we were asked after reading that.,thank you,1,1,6,7,7,6.875,6.583333333,7,7,1,0,1.557722949,1.846278195
R_0lHPXQHTflFCS69,Live,Anonymous,,United States,0,6/22/15 9:33,6/22/15 9:37,1,0.5,4,1,1,1,1,1,,2.73,7.322,150.848,2,1,6,4,3,5,6,1,3,5,6,5,6,2,4,5,1,4,4,6,5,5,4,6,2,5,3,2,4,1,2,6,5,2,6,2,5,4,3,4,4,1,2,1,2,1,1,2,2,,4,,4,6,,,1,1,31,3,1,I don't know,no,1,1,2,6,4.5,4.5,4.166666667,3.909090909,3,1,0,-0.408251703,-0.513951881
R_2o6GsE8utJz3mOF,Live,Anonymous,,United States,0,6/22/15 9:09,6/22/15 9:25,1,0.5,4,1,1,1,1,1,,0,0,150.257,0,1,7,7,7,7,7,1,7,7,7,7,5,1,6,7,1,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,6,5,7,6,7,7,7,1,2,2,2,2,1,2,2,,,,,3,,,1,2,42,2,1,It is about saving the environment  and helping to prevent climate change by using as less energy as we can and recycling the things that we can.,NO,1,1,3,7,7,6.375,7,6.636363636,1,1,0,1.896684096,1.568604068
R_0wuhlBLZXyPXYgJ,Live,Anonymous,,United States,0,6/16/15 10:55,6/16/15 11:03,1,-0.5,4,1,1,1,1,,1,0,0,50.826,0,1,5,7,5,5,2,1,2,6,6,5,1,6,6,5,1,1,2,2,2,1,4,1,2,4,1,5,1,1,2,2,2,5,1,1,6,5,5,4,5,1,1,1,2,2,1,2,2,1,1,,,5,,,1,1,53,3,1,Morality of peoples decision making as well as if people take climate changing serious and if they are actually willing to do something about it.,No,1,1,7,2,5.5,4.875,2.166666667,3.454545455,3,1,0,-2.035265209,-0.861044539
R_0DNW6nuQpRUgMcd,Live,Anonymous,,United States,0,6/22/15 9:37,6/22/15 9:46,1,0.5,4,1,1,1,1,1,,0,0,79.312,0,1,7,5,7,5,3,1,7,7,7,7,1,1,7,7,1,5,5,5,7,3,7,4,7,7,6,7,2,1,7,3,4,7,2,3,5,5,7,5,7,1,2,1,1,2,1,1,1,,2,1,,10,2,10,1,1,36,1,1,To see how people feel about climate change.,No.,1,1,7,7,6,7,5.416666667,5,5,1,0,0.608631738,0.319070499
R_cAVyx4KzRPaFTA9,Live,Anonymous,,United States,0,6/16/15 10:29,6/16/15 10:35,1,0.5,4,1,1,1,1,1,,0,0,77.508,0,1,5,4,5,5,6,1,5,6,6,6,4,3,5,6,1,7,7,7,7,7,7,7,7,7,7,7,5,1,6,7,7,7,4,7,4,4,7,4,7,1,1,1,1,1,1,1,1,5,5,10,10,10,10,8,1,2,42,2,1,study is about climate and if the information you read changes or inflences your views,na,1,1,4,5,4.75,5.375,6.833333333,5.818181818,7,1,0,1.761099637,0.943837283
R_2fQpKuWxXi5qQgB,Live,Anonymous,,United States,0,6/16/15 10:02,6/16/15 10:10,1,0.5,4,1,1,1,1,1,,21.564,31.292,56.855,3,1,6,5,6,5,5,1,7,6,5,5,3,1,6,7,1,6,7,1,6,1,7,6,6,1,1,7,1,1,7,7,7,6,1,5,3,3,5,5,5,1,2,1,1,2,1,1,1,,10,5,,10,5,2,1,1,51,2,1,I think the purpose of this study is to see how people feel about global warming,no,1,1,5,7,5.5,6,4.166666667,4.909090909,5,1,0,-0.408251703,0.249651967
R_8J8TPAwql6sbBZj,Live,Anonymous,,United States,0,6/16/15 9:58,6/16/15 10:15,1,0.5,4,1,1,1,1,1,,1.788,110.355,112.815,8,1,6,5,6,5,7,1,7,7,7,7,1,1,7,7,1,5,7,3,3,7,7,4,7,5,7,7,4,1,7,5,6,7,4,5,5,6,7,5,6,1,1,1,1,1,1,1,1,1,2,2,10,10,10,5,1,1,28,1,1,Attitudes toward climate change., ,1,1,7,7,5.5,7,5.5,5.727272727,7,1,0,0.676423967,0.874418752
R_a5a5cpMaP7qmsxn,Live,Anonymous,,United States,0,6/16/15 10:11,6/16/15 10:23,1,-0.5,4,1,1,1,1,,1,0,0,70.772,0,1,4,3,4,4,1,1,6,5,5,5,5,3,5,5,1,3,3,3,2,1,5,3,4,4,4,3,1,1,4,3,4,4,3,3,4,3,4,4,4,1,2,2,2,2,1,1,2,,,,,5,5,,1,1,35,3,1,To see how we feel about global warming and ways to stop it,no,1,1,3,5,3.75,4.875,3,3.636363636,2,1,0,-1.357342915,-0.722207476
R_2n7Z6E91PmWciyh,Live,Anonymous,,United States,0,6/22/15 9:15,6/22/15 9:22,1,-0.5,4,1,1,1,1,,1,0,0,68.8,0,1,6,6,6,5,4,1,5,6,6,5,6,4,6,6,1,6,2,4,5,2,6,5,2,6,2,5,4,1,5,4,6,5,4,4,4,3,6,4,5,1,2,1,1,2,1,2,1,,10,10,,10,,8,1,2,25,4,1,How much people care about the environment.,none,1,1,2,4,5.75,5,4.083333333,4.545454545,4,1,0,-0.476043933,-0.02802216
R_1AZTVz74kbaGpBb,Live,Anonymous,,United States,0,6/16/15 10:02,6/16/15 10:18,1,0.5,4,1,1,1,1,1,,0,0,266.41,0,1,7,7,7,7,4,1,7,4,7,7,4,4,7,7,1,7,7,7,7,1,7,7,1,4,7,7,1,1,7,7,7,7,1,4,1,4,7,4,4,1,2,1,1,2,1,1,1,,1,1,,10,1,10,1,2,39,4,1,The purpose of the study could be to find out the mental state of people that are concerned or not concerned about global warming.,Thank you!,1,1,4,4,7,5.875,5.25,4.818181818,5,1,0,0.473047279,0.180233435
R_4MecWNHs7h78ycl,Live,Anonymous,,United States,0,6/16/15 10:00,6/16/15 10:07,1,0.5,4,1,1,1,1,1,,0,0,66.247,0,1,5,7,5,3,1,1,7,7,7,5,1,1,7,5,1,4,4,1,7,1,3,4,5,5,5,4,1,1,5,4,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,,3,3,,5,,,1,2,33,1,1,I think it's about people's ideas about climate change and whether environmental issues are also moral issues.,No,1,1,7,7,5,6.5,3.666666667,1.636363636,3,1,0,-0.81500508,-2.249415172
R_8ffffgoD5M9mC0t,Live,Anonymous,,United States,0,6/16/15 10:02,6/16/15 10:20,1,-0.5,4,1,1,1,1,,1,0,0,88.447,0,1,6,6,7,5,5,1,7,7,7,6,2,1,7,7,1,7,7,7,7,4,3,2,7,3,2,7,1,1,7,4,7,5,4,5,4,4,6,4,7,1,2,1,1,2,1,1,1,,2,4,,10,1,8,1,1,40,2,1,To see what percentage of americans understand the impact of global warming,No,1,1,6,7,6,6.75,4.75,5.181818182,5,1,0,0.066293902,0.457907562
R_b9nLgo1CLBK4ZiB,Live,Anonymous,,United States,0,6/16/15 10:36,6/16/15 10:43,1,-0.5,4,1,1,1,1,,1,5.092,5.092,91.623,1,1,1,1,2,1,2,1,3,2,2,2,6,6,4,2,1,1,7,7,7,7,7,2,7,1,7,2,2,1,2,2,3,4,2,3,2,3,4,3,4,1,2,1,1,2,1,2,2,,5,3,,5,,,1,1,45,4,1,"\To observe perceptions about \""\""climate change\""\"".\""""",This study was interesting.,1,1,2,2,1.25,2.375,4.75,2.909090909,3,1,0,0.066293902,-1.277555729
R_0pUygs9voUybebH,Live,Anonymous,,United States,0,6/22/15 9:15,6/22/15 9:46,1,-0.5,4,1,1,1,1,,1,0,0,71.564,0,1,4,1,4,1,6,1,7,4,6,4,2,2,4,6,1,1,7,7,7,1,1,4,7,1,1,1,1,1,7,1,4,6,1,1,4,4,6,6,6,1,1,1,1,2,1,1,1,1,1,1,,10,2,4,1,1,64,4,1,"\Detemine how aware of a person is about global warming. If unaware of the true situation"""," their actions and opinions could be affected by misinformation from some media source.\""	\""I have trouble of thinking about global warming in terms of a moral issue. You might want to define what you mean. Any action a person takes can have negative or positive consequences to someone else""", so measuring the morality of an action is not a black and white issue. So yes,6,6,2.5,5.375,3.25,4.181818182,6,1,0,-1.153966227,-0.305696286,
R_8APzuXp7xYMqgvz,Live,Anonymous,,United States,0,6/16/15 10:05,6/16/15 10:13,1,-0.5,4,1,1,1,1,,1,0,0,71.582,0,1,1,3,2,1,3,1,5,5,5,5,4,3,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,2,5,4,4,3,4,4,4,4,1,2,2,2,2,1,2,2,,,,,5,,,1,2,25,4,1,the morals/ethics of people about recycling and saving the environment?,"\It would probably be a lot more considerate and positive to try and be environmentally conscious"""," but I think the world sucks and as far as I'm concerned it can end right now. \""	1""",4,5,1.75,4.75,1,3.909090909,1,1,0,-2.98435642,-0.513951881,
R_db70r5vRR6qFPhj,Live,Anonymous,,United States,0,6/16/15 9:55,6/16/15 9:58,1,-0.5,4,1,1,1,1,,1,2.449,4.488,46.597,2,1,5,6,5,5,6,1,6,6,6,6,5,2,5,6,1,6,6,4,6,5,6,6,5,6,6,5,6,1,5,6,6,5,6,6,6,6,7,6,6,1,1,1,1,1,1,1,1,10,9,9,10,8,9,9,1,1,40,2,1,perception,no,1,1,3,6,5.25,5.5,5.583333333,5.909090909,7,1,0,0.744216196,1.013255815
R_2ugi7LcvfJXuDT7,Live,Anonymous,,United States,0,6/16/15 10:45,6/16/15 10:58,1,-0.5,4,1,1,1,1,,1,0,0,94.175,0,1,7,5,7,7,3,1,7,7,7,7,5,1,7,7,1,7,7,5,7,2,7,7,7,7,2,5,2,1,7,2,7,7,7,4,6,5,7,7,6,1,1,1,1,2,1,1,1,1,3,2,,10,5,8,1,2,53,4,1,"\Taking a census of peoples principles concerning the environment. Whether they recycle or are willing by financial incentives to start. Also"""," if they would be politically motivated by those who support environmental reform policies.\""	No""",1,3,7,6.5,6.5,5.416666667,5.909090909,6,1,0,0.608631738,1.013255815,
R_9TTeAreW8axhjIp,Live,Anonymous,,United States,0,6/22/15 9:02,6/22/15 9:08,1,-0.5,4,1,1,1,1,,1,0,0,74.781,0,1,7,4,6,5,5,1,7,7,5,5,2,2,5,7,1,6,1,6,7,1,7,4,7,5,1,3,1,1,5,3,7,7,1,5,4,4,5,5,4,1,2,1,1,2,1,1,1,,1,1,,10,10,8,1,2,28,3,1,Thoughts on climate change vs. willingness to change your daily habits to reduce your environmental impact, ,1,1,6,6,5.5,6,4.083333333,4.545454545,5,1,0,-0.476043933,-0.02802216
R_0v1rb2Jz4kVc7oV,Live,Anonymous,,Philippines,0,6/16/15 9:55,6/16/15 10:02,1,0.5,4,1,1,1,1,1,,3.263,45.053,67.391,3,1,4,1,4,3,2,1,4,2,2,2,5,4,2,4,1,7,7,4,4,4,5,4,3,4,4,2,3,1,4,4,3,4,2,2,2,2,4,2,4,1,2,1,2,2,2,2,2,,10,,,,,,1,1,40,4,1,How people view climate change and its causes,no,1,1,3,4,3,2.875,4.25,3,1,0,0,,
R_555mZ3Zymc0iCGx,Live,Anonymous,,United States,0,6/22/15 9:38,6/22/15 9:42,1,0.5,4,1,1,1,1,1,,3.196,9.776,62.366,2,1,2,2,2,2,1,1,6,2,2,2,6,6,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,1,1,32,7,1,Perceptions on individual's impact on climate change,No,1,1,2,2,2,2.5,1,1.181818182,0,1,0,-2.98435642,-2.59650783
R_etA8rh5NmniI25T,Live,Anonymous,,United States,0,6/16/15 10:13,6/16/15 10:22,1,-0.5,4,1,1,1,1,,1,0,0,72.242,0,1,5,6,6,4,5,1,7,7,7,7,1,1,7,7,1,7,5,3,6,4,5,5,4,4,5,7,1,1,6,4,5,6,4,4,4,4,5,4,4,1,2,1,2,2,1,2,2,,10,,,5,,,1,1,34,2,1,How serious people think climate change is.,No.,1,1,7,7,5.25,7,4.666666667,4.545454545,2,1,0,-0.001498327,-0.02802216
R_3F9n79QuCRjeRN3,Live,Anonymous,,United States,0,6/16/15 9:50,6/16/15 9:56,1,0.5,4,1,1,1,1,1,,0,0,57.524,0,1,5,4,6,5,4,1,6,7,7,6,2,1,6,5,1,7,5,7,6,2,7,6,7,7,2,6,1,1,6,5,5,5,1,2,1,5,5,1,1,1,1,1,1,2,1,1,2,1,1,1,,5,5,,1,2,42,2,1,determing attitudes about individual involvement in working to combat climate change,no,1,1,6,7,5,6.25,5.25,3.363636364,5,1,0,0.473047279,-0.930463071
